phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_number;entropy_class;word_freq_log
E;196.37;196.54;en;196.37;196.54;4.483571099;4.869410293;13987.4934;8.96004;599;1;13.77184983
x;196.54;196.65;gaf;196.54;196.8;4.483571099;4.34040029;191.5187;9.123939;600;1;7.581341454
A;196.65;196.71;gaf;196.54;196.8;0.25552616;5.683128314;191.5187;9.123939;600;1;7.581341454
f;196.71;196.8;gaf;196.54;196.8;0.010010655;1.902659827;191.5187;9.123939;600;1;7.581341454
a:;196.8;196.84;haar;196.8;196.84;4.483571099;6.962709982;2975.8683;9.230347;601;1;11.53909496
@;196.84;196.87;een;196.84;197;4.483571099;5.103190997;17972.179;8.97241;602;1;14.13347772
N;196.87;197;een;196.84;197;0.004261526;8.284647381;17972.179;8.97241;602;1;14.13347772
k;197;197.06;kus;197;197.46;4.483571099;4.803206421;51.8873;8.805197;603;1;5.697309561
u;197.06;197.14;kus;197;197.46;0.181988476;3.807971266;51.8873;8.805197;603;1;5.697309561
s;197.14;197.46;kus;197;197.46;0.015841441;3.214876993;51.8873;8.805197;603;1;5.697309561
s;199.17;199.27;Zij;199.17;199.31;4.483571099;5.246233842;755.5096;8.555475;604;1;9.561306277
Ei;199.27;199.31;Zij;199.17;199.31;0.185596842;8.244089243;755.5096;8.555475;604;1;9.561306277
z;199.31;199.42;zeide;199.31;199.64;4.483571099;4.235657498;0.7546;8.434632;605;1;-0.406215995
Ei;199.42;199.61;zeide;199.31;199.64;0.287255793;4.427679985;0.7546;8.434632;605;1;-0.406215995
d;199.61;199.64;zeide;199.31;199.64;0.001809406;4.010367369;0.7546;8.434632;605;1;-0.406215995
d;199.64;199.67;dat;199.64;199.74;4.483571099;3.345837716;22077.2184;8.369314;606;-1;14.43027079
A;199.67;199.7;dat;199.64;199.74;0.226780069;1.84007326;22077.2184;8.369314;606;-1;14.43027079
t;199.7;199.74;dat;199.64;199.74;0.065186088;7.883768123;22077.2184;8.369314;606;-1;14.43027079
z;199.74;199.83;zij;199.74;199.87;4.483571099;4.235657498;755.5096;2.6379483;607;-1;9.561306277
Ei;199.83;199.87;zij;199.74;199.87;0.287255793;4.427679985;755.5096;2.6379483;607;-1;9.561306277
E;199.87;199.97;hem;199.87;200.01;4.483571099;4.869410293;3698.0365;9.320668;608;1;11.85254375
m;199.97;200.01;hem;199.87;200.01;0.080619888;4.111146518;3698.0365;9.320668;608;1;11.85254375
x;200.01;200.17;gaarne;200.01;200.42;4.483571099;4.34040029;0.4574;8.5427265;609;1;-1.128471729
a:;200.17;200.23;gaarne;200.01;200.42;0.25552616;2.580847877;0.4574;8.5427265;609;1;-1.128471729
r;200.23;200.33;gaarne;200.01;200.42;0.028146666;5.476067689;0.4574;8.5427265;609;1;-1.128471729
n;200.33;200.39;gaarne;200.01;200.42;0.001800647;6.130658336;0.4574;8.5427265;609;1;-1.128471729
@;200.39;200.42;gaarne;200.01;200.42;0.000807516;4.758827094;0.4574;8.5427265;609;1;-1.128471729
v;200.42;200.52;volgen;200.42;200.75;4.483571099;4.264979962;98.7436;7.7574606;610;-1;6.625615339
O;200.52;200.61;volgen;200.42;200.75;0.266645248;4.583070147;98.7436;7.7574606;610;-1;6.625615339
l;200.61;200.67;volgen;200.42;200.75;0.015408473;0.306088461;98.7436;7.7574606;610;-1;6.625615339
G;200.67;200.71;volgen;200.42;200.75;0.014719727;0.848991949;98.7436;7.7574606;610;-1;6.625615339
@;200.71;200.75;volgen;200.42;200.75;0.00798756;0.125692776;98.7436;7.7574606;610;-1;6.625615339
s;200.75;200.86;zou;200.75;201.09;4.483571099;5.246233842;2506.9163;8.231539;611;-1;11.29169811
Au;200.86;201.09;zou;200.75;201.09;0.185596842;9.478617068;2506.9163;8.231539;611;-1;11.29169811
m;201.09;201.13;maar;201.09;201.67;4.483571099;3.95081156;8385.7271;8.386061;612;-1;13.03372017
a:;201.13;201.67;maar;201.09;201.67;0.279820559;1.593363388;8385.7271;8.386061;612;-1;13.03372017
m;201.67;201.74;met;201.67;201.91;4.483571099;3.95081156;6812.1413;9.048725;613;1;12.73389264
E;201.74;201.8;met;201.67;201.91;0.279820559;4.243152203;6812.1413;9.048725;613;1;12.73389264
d;201.8;201.91;met;201.67;201.91;0.020417473;9.134180325;6812.1413;9.048725;613;1;12.73389264
t;201.91;201.96;tranen;201.91;202.29;4.483571099;5.057095733;20.2152;9.126096;614;1;4.337368572
r;201.96;201.99;tranen;201.91;202.29;0.143024519;3.56084516;20.2152;9.126096;614;1;4.337368572
a:;201.99;202.2;tranen;201.91;202.29;0.017155804;3.490945464;20.2152;9.126096;614;1;4.337368572
n;202.2;202.25;tranen;201.91;202.29;0.00258447;4.917143313;20.2152;9.126096;614;1;4.337368572
@;202.25;202.29;tranen;201.91;202.29;0.000823994;4.414708589;20.2152;9.126096;614;1;4.337368572
s;202.29;202.44;smeekte;202.29;202.73;4.483571099;5.246233842;7.3635;9.23816;615;1;2.880391667
m;202.44;202.49;smeekte;202.29;202.73;0.185596842;5.785880998;7.3635;9.23816;615;1;2.880391667
e:;202.49;202.63;smeekte;202.29;202.73;0.005901513;1.016329662;7.3635;9.23816;615;1;2.880391667
k;202.63;202.66;smeekte;202.29;202.73;0.003484782;2.429750292;7.3635;9.23816;615;1;2.880391667
t;202.66;202.7;smeekte;202.29;202.73;0.001113354;3.21841396;7.3635;9.23816;615;1;2.880391667
@;202.7;202.73;smeekte;202.29;202.73;0.000829666;3.917894786;7.3635;9.23816;615;1;2.880391667
z;202.73;202.84;zij;202.73;202.99;4.483571099;4.235657498;755.5096;8.907408;616;1;9.561306277
Ei;202.84;202.99;zij;202.73;202.99;0.287255793;4.427679985;755.5096;8.907408;616;1;9.561306277
h;202.99;203.09;hem;202.99;203.25;4.483571099;3.919556756;3698.0365;8.851581;617;1;11.85254375
E;203.09;203.16;hem;202.99;203.25;0.242825887;2.478097583;3698.0365;8.851581;617;1;11.85254375
m;203.16;203.25;hem;202.99;203.25;0.048759715;0.48828167;3698.0365;8.851581;617;1;11.85254375
h;203.25;203.35;haar;203.25;203.44;4.483571099;3.919556756;2975.8683;6.299745;618;-1;11.53909496
a:;203.35;203.39;haar;203.25;203.44;0.242825887;2.899356108;2975.8683;6.299745;618;-1;11.53909496
r;203.39;203.44;haar;203.25;203.44;0.037299027;0.360667791;2975.8683;6.299745;618;-1;11.53909496
t;203.44;203.53;toch;203.44;203.63;4.483571099;5.057095733;1693.528;8.679221;619;1;10.72581612
O;203.53;203.58;toch;203.44;203.63;0.143024519;5.930728314;1693.528;8.679221;619;1;10.72581612
x;203.58;203.63;toch;203.44;203.63;0.004360776;4.258592434;1693.528;8.679221;619;1;10.72581612
f;203.63;203.73;verlof;203.63;203.99;4.483571099;7.950002851;11.0223;6.0094447;620;-1;3.462353394
@;203.73;203.77;verlof;203.63;203.99;0.040921709;11.47889329;11.0223;6.0094447;620;-1;3.462353394
r;203.77;203.8;verlof;203.63;203.99;0.000802413;5.292152273;11.0223;6.0094447;620;-1;3.462353394
l;203.8;203.85;verlof;203.63;203.99;0.000798962;5.285402219;11.0223;6.0094447;620;-1;3.462353394
O;203.85;203.91;verlof;203.63;203.99;0.000798962;5.285402219;11.0223;6.0094447;620;-1;3.462353394
f;203.91;203.99;verlof;203.63;203.99;0.000798962;5.285402219;11.0223;6.0094447;620;-1;3.462353394
t;203.99;204.08;te;203.99;204.11;4.483571099;5.057095733;7844.1238;8.546644;621;1;12.93739659
@;204.08;204.11;te;203.99;204.11;0.143024519;2.815404421;7844.1238;8.546644;621;1;12.93739659
x;204.11;204.22;geven;204.11;204.56;4.483571099;4.34040029;475.6066;7.7730446;622;-1;8.893624925
e:;204.22;204.39;geven;204.11;204.56;0.25552616;2.641251005;475.6066;7.7730446;622;-1;8.893624925
f;204.39;204.5;geven;204.11;204.56;0.050072128;2.14189599;475.6066;7.7730446;622;-1;8.893624925
@;204.5;204.56;geven;204.11;204.56;0.005880282;2.43996458;475.6066;7.7730446;622;-1;8.893624925
O;204.75;204.9;om;204.75;204.97;4.483571099;5.174097309;4415.311;9.199877;623;1;12.10829934
m;204.9;204.97;om;204.75;204.97;0.12076764;1.308973172;4415.311;9.199877;623;1;12.10829934
e:;204.97;205.13;eerst;204.97;205.28;4.483571099;5.298149722;359.1632;8.234042;624;-1;8.488495728
r;205.13;205.17;eerst;204.97;205.28;0.140538224;4.495007013;359.1632;8.234042;624;-1;8.488495728
s;205.17;205.24;eerst;204.97;205.28;0.012243146;1.297842548;359.1632;8.234042;624;-1;8.488495728
t;205.24;205.28;eerst;204.97;205.28;0.005231795;0.136730158;359.1632;8.234042;624;-1;8.488495728
