,Language,Word Entropy,hemisphere,model,time,subject,accuracy
223,French,High,Left,Phoneme_onset,0,sub-020,1.367045677659562e-06
224,French,High,Right,Surprisal,0,sub-020,-3.0892646060965665e-07
225,French,High,Left,Surprisal,0,sub-020,-2.9095417775016875e-07
226,French,High,Right,Entropy,0,sub-020,-3.680461708392289e-06
227,French,High,Left,Entropy,0,sub-020,-1.7048062791142882e-06
228,French,High,Right,Phoneme_onset,0,sub-021,-3.0190948275914103e-06
229,French,High,Left,Phoneme_onset,0,sub-021,2.6244636600660095e-07
230,French,High,Right,Surprisal,0,sub-021,-4.040535822018373e-06
231,French,High,Left,Surprisal,0,sub-021,-8.679697157351844e-07
232,French,High,Right,Entropy,0,sub-021,-8.506905423074063e-06
233,French,High,Left,Entropy,0,sub-021,-7.446029564664915e-06
234,French,High,Right,Phoneme_onset,0,sub-023,-2.7581434791444584e-07
235,French,High,Left,Phoneme_onset,0,sub-023,-4.321752228077104e-07
236,French,High,Right,Surprisal,0,sub-023,-4.7133708461139284e-06
237,French,High,Left,Surprisal,0,sub-023,-1.6822926302941474e-06
238,French,High,Right,Entropy,0,sub-023,-4.083331865413794e-06
239,French,High,Left,Entropy,0,sub-023,-2.5897788786550512e-06
240,French,High,Right,Phoneme_onset,0,sub-025,-3.5049021478729784e-06
241,French,High,Left,Phoneme_onset,0,sub-025,4.1289279670921133e-07
242,French,High,Right,Surprisal,0,sub-025,-3.302661942824679e-06
243,French,High,Left,Surprisal,0,sub-025,-1.499937035143519e-06
244,French,High,Right,Entropy,0,sub-025,-6.3647689479722004e-06
245,French,High,Left,Entropy,0,sub-025,-1.0548957616455867e-05
246,French,High,Right,Phoneme_onset,0,sub-026,-2.506571077646291e-06
247,French,High,Left,Phoneme_onset,0,sub-026,-1.1935548323432715e-06
248,French,High,Right,Surprisal,0,sub-026,-3.460983865848664e-06
249,French,High,Left,Surprisal,0,sub-026,-2.4355498147025637e-06
250,French,High,Right,Entropy,0,sub-026,-6.311586729563821e-06
251,French,High,Left,Entropy,0,sub-026,-2.7161345325654568e-06
252,French,High,Right,Phoneme_onset,0,sub-027,4.439276280630216e-07
253,French,High,Left,Phoneme_onset,0,sub-027,5.712438317705601e-07
254,French,High,Right,Surprisal,0,sub-027,-2.542676566651754e-06
255,French,High,Left,Surprisal,0,sub-027,-2.7471566179161693e-06
256,French,High,Right,Entropy,0,sub-027,-5.845766019537392e-06
257,French,High,Left,Entropy,0,sub-027,-5.663917984834919e-06
