phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_surprisal_GPT;word_number
a;172.05;172.1;chasseur;171.93;172.35;0.0657095430179095;3.103105305359027;15.372064563361429;8.286585;6.560359;617
s;172.1;172.23;chasseur;171.93;172.35;0.0099939483469352;3.505358259974789;15.372064563361429;8.286585;6.560359;617
9;172.23;172.27;chasseur;171.93;172.35;0.0017462893145695;1.7546478717267595;15.372064563361429;8.286585;6.560359;617
R;172.27;172.35;chasseur;171.93;172.35;0.0012576727673755;1.2525735133490112;15.372064563361429;8.286585;6.560359;617
k;172.35;172.43;car;172.35;172.53;4.409139780035069;4.296214187739292;11.808971852014231;4.585536;10.480499;618
a;172.43;172.5;car;172.35;172.53;0.385222146039297;5.036386062888957;11.808971852014231;4.585536;10.480499;618
R;172.5;172.53;car;172.35;172.53;0.0219419319729494;2.581627989410814;11.808971852014231;4.585536;10.480499;618
Z;172.53;172.63;jamais;172.53;172.85;4.409139780035069;4.696626826843674;9.373188397144764;5.5592504;8.107588;619
a;172.63;172.75;jamais;172.53;172.85;0.1987545201512666;4.349661841187358;9.373188397144764;5.5592504;8.107588;619
m;172.75;172.82;jamais;172.53;172.85;0.0172205023130536;0.1712877965488801;9.373188397144764;5.5592504;8.107588;619
E;172.82;172.85;jamais;172.53;172.85;0.0149584629794859;0.0388871530096268;9.373188397144764;5.5592504;8.107588;619
Z;172.85;172.98;je;172.85;172.98;4.409139780035069;4.696626826843674;5.117228055278593;6.8808413;3.3473957;620
a;172.98;173.03;n'aurais;172.98;173.13;4.409139780035069;3.7941932878383366;NAN;1.4384915;0.84262794;621
n;173.03;173.06;n'aurais;172.98;173.13;0.2290040949793377;5.391121712050364;NAN;1.4384915;0.84262794;621
R;173.06;173.09;n'aurais;172.98;173.13;0.0088023728970809;7.887197532901712;NAN;1.4384915;0.84262794;621
E;173.09;173.13;n'aurais;172.98;173.13;0.0008652650194437;5.308885057411764;NAN;1.4384915;0.84262794;621
p;173.13;173.23;pu;173.13;173.3;4.409139780035069;3.530081653227226;11.266245920050512;6.080366;2.120053;622
y;173.23;173.3;pu;173.13;173.3;0.3111310643031198;7.320677527000215;11.266245920050512;6.080366;2.120053;622
t;173.3;173.42;tirer;173.3;173.58;4.409139780035069;3.99745621873046;12.95359736701465;7.0508714;10.393984;623
i;173.42;173.47;tirer;173.3;173.58;0.1801079616834537;4.949669114258216;12.95359736701465;7.0508714;10.393984;623
R;173.47;173.54;tirer;173.3;173.58;0.0103137789537278;2.511736104990022;12.95359736701465;7.0508714;10.393984;623
