phonemes,phoneme_onset,phoneme_offset,words,word_onset,word_offset
i,69.11,69.25,ainsi,68.81,69.25
d,69.25,69.28,de,69.25,69.28
l,69.35,69.4,la,69.35,69.52
a,69.4,69.52,la,69.35,69.52
n,69.52,69.56,nacelle,69.52,70.17
a,69.56,69.65,nacelle,69.52,70.17
s,69.65,69.86,nacelle,69.52,70.17
E,69.86,70.06,nacelle,69.52,70.17
l,70.06,70.17,nacelle,69.52,70.17
y,70.7,70.8,une,70.7,70.85
n,70.8,70.85,une,70.7,70.85
g,70.85,70.96,grande,70.85,71.22
R,70.96,71.03,grande,70.85,71.22
a~,71.03,71.19,grande,70.85,71.22
d,71.19,71.22,grande,70.85,71.22
e,71.22,71.34,élévation,71.22,71.92
l,71.34,71.37,élévation,71.22,71.92
e,71.37,71.49,élévation,71.22,71.92
v,71.49,71.53,élévation,71.22,71.92
a,71.53,71.64,élévation,71.22,71.92
s,71.64,71.8,élévation,71.22,71.92
j,71.8,71.86,élévation,71.22,71.92
o~,71.86,71.92,élévation,71.22,71.92
a~,71.92,72.17,en,71.92,72.17
b,72.17,72.21,ballon,72.17,72.66
a,72.21,72.34,ballon,72.17,72.66
l,72.34,72.42,ballon,72.17,72.66
o~,72.42,72.66,ballon,72.17,72.66
E,73.02,73.07,ayant,73.02,73.37
j,73.07,73.23,ayant,73.02,73.37
a~,73.23,73.37,ayant,73.02,73.37
p,73.37,73.46,pour,73.37,73.57
u,73.46,73.57,pour,73.37,73.57
R,73.57,73.62,résultat,73.57,74.2
e,73.62,73.76,résultat,73.57,74.2
z,73.76,73.79,résultat,73.57,74.2
y,73.79,73.86,résultat,73.57,74.2
l,73.86,73.92,résultat,73.57,74.2
t,73.92,74.04,résultat,73.57,74.2
a,74.04,74.2,résultat,73.57,74.2
d,74.2,74.26,de,74.2,74.32
@,74.26,74.32,de,74.2,74.32
R,74.32,74.35,réduire,74.32,74.9
e,74.35,74.52,réduire,74.32,74.9
d,74.52,74.6,réduire,74.32,74.9
