phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_number;entropy_class;word_freq_log
2;26.71;26.83;nombreuses;26.33;26.92;0.001727228;0.709023245;14.01;4.912683;59;1;3.808385051
z;26.83;26.92;nombreuses;26.33;26.92;0.001291594;1.185855619;14.01;4.912683;59;1;3.808385051
e;26.92;27.03;et;26.92;27.03;4.40913978;4.815820454;12909.08;6.733558;60;1;13.65609857
p;27.03;27.07;profondes;27.03;27.74;4.40913978;3.530081653;3.8;5.8498116;61;1;1.925999419
R;27.07;27.11;profondes;27.03;27.74;0.311131064;2.666672359;3.8;5.8498116;61;1;1.925999419
o;27.11;27.2;profondes;27.03;27.74;0.065043444;2.064643781;3.8;5.8498116;61;1;1.925999419
f;27.2;27.37;profondes;27.03;27.74;0.020049293;3.009240615;3.8;5.8498116;61;1;1.925999419
o~;27.37;27.62;profondes;27.03;27.74;0.003554567;2.381361639;3.8;5.8498116;61;1;1.925999419
d;27.62;27.74;profondes;27.03;27.74;0.001402253;1.009450001;3.8;5.8498116;61;1;1.925999419
p;27.98;28.05;présentaient;27.98;28.63;4.40913978;3.530081653;0.21;5.313674;62;1;-2.251538767
R;28.05;28.1;présentaient;27.98;28.63;0.311131064;2.666672359;0.21;5.313674;62;1;-2.251538767
e;28.1;28.19;présentaient;27.98;28.63;0.065043444;3.090563684;0.21;5.313674;62;1;-2.251538767
z;28.19;28.29;présentaient;27.98;28.63;0.010553588;2.603125467;0.21;5.313674;62;1;-2.251538767
a~;28.29;28.45;présentaient;27.98;28.63;0.002602776;0.876707144;0.21;5.313674;62;1;-2.251538767
t;28.45;28.53;présentaient;27.98;28.63;0.001845371;0.629455342;0.21;5.313674;62;1;-2.251538767
E;28.53;28.63;présentaient;27.98;28.63;0.001728063;3.930417698;0.21;5.313674;62;1;-2.251538767
l;28.63;28.68;l;28.63;28.68;4.40913978;3.75526016;112.12;0.21628195;63;-1;6.808899839
a;28.68;28.84;apparence;28.68;29.31;4.40913978;3.794193288;11.85;3.1468554;64;-1;3.566815154
p;28.84;28.87;apparence;28.68;29.31;0.229004095;2.819440548;11.85;3.1468554;64;-1;3.566815154
a;28.87;28.99;apparence;28.68;29.31;0.036926711;3.694985565;11.85;3.1468554;64;-1;3.566815154
R;28.99;29.02;apparence;28.68;29.31;0.004361077;0.19589986;11.85;3.1468554;64;-1;3.566815154
a~;29.02;29.2;apparence;28.68;29.31;0.004780022;4.42301422;11.85;3.1468554;64;-1;3.566815154
s;29.2;29.31;apparence;28.68;29.31;0.001058814;2.011422823;11.85;3.1468554;64;-1;3.566815154
d;29.39;29.47;de;29.39;29.47;4.40913978;3.516593851;25220.96;8.545833;65;1;14.62233557
l;29.47;29.55;lacs;29.47;29.79;4.40913978;3.75526016;3.6;7.298601;66;1;1.847996907
a;29.55;29.68;lacs;29.47;29.79;0.225805434;1.769352061;3.6;7.298601;66;1;1.847996907
k;29.68;29.79;lacs;29.47;29.79;0.006179921;2.230553879;3.6;7.298601;66;1;1.847996907
a~;30.31;30.42;en;30.31;30.42;4.40913978;5.557861127;9398.98;7.744472;67;1;13.19828849
R;30.42;30.5;raison;30.42;30.85;4.40913978;5.400144139;424.28;1.4355263;68;-1;8.728872863
E;30.5;30.6;raison;30.42;30.85;0.095372902;3.107963095;424.28;1.4355263;68;-1;8.728872863
z;30.6;30.7;raison;30.42;30.85;0.014644749;3.370706771;424.28;1.4355263;68;-1;8.728872863
o~;30.7;30.85;raison;30.42;30.85;0.002430663;0.692756209;424.28;1.4355263;68;-1;8.728872863
d;30.85;30.9;des;30.85;31.09;4.40913978;3.516593851;6055.71;8.415768;69;1;12.5640804
e;30.9;30.99;des;30.85;31.09;0.316459001;3.922555441;6055.71;8.415768;69;1;12.5640804
