phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_number;entropy_class;word_freq_log
y;173.71;173.76;sur;173.58;173.87;0.279602377;4.621087551;2572.52;4.604026;624;-1;11.32896658
R;173.76;173.83;sur;173.58;173.87;0.016267838;0.915763922;2572.52;4.604026;624;-1;11.32896658
@;173.83;173.87;sur;173.58;173.87;0.008030291;1.964689936;2572.52;4.604026;624;-1;11.32896658
v;173.87;173.94;vous;173.87;174.16;4.40913978;4.287664674;13589.7;5.2069006;625;-1;13.73022599
u;173.94;174.11;vous;173.87;174.16;0.427622993;0.636401034;13589.7;5.2069006;625;-1;13.73022599
t;174.11;174.16;vous;173.87;174.16;0.017939919;10.65206517;13589.7;5.2069006;625;-1;13.73022599
i;175.22;175.41;Il;175.22;175.45;4.40913978;5.083806629;13223.34;7.2505746;626;1;13.690799
l;175.41;175.45;Il;175.22;175.45;0.046376744;5.52935303;13223.34;7.2505746;626;1;13.690799
p;175.45;175.51;prit;175.45;175.64;4.40913978;3.530081653;7.27;5.5601134;627;1;2.861955364
R;175.51;175.59;prit;175.45;175.64;0.311131064;2.666672359;7.27;5.5601134;627;1;2.861955364
i;175.59;175.64;prit;175.45;175.64;0.065043444;4.460837233;7.27;5.5601134;627;1;2.861955364
d;175.64;175.7;donc;175.64;175.92;4.40913978;3.516593851;612.51;5.202885;628;-1;9.258589588
o~;175.7;175.79;donc;175.64;175.92;0.316459001;5.108237199;612.51;5.202885;628;-1;9.258589588
k;175.79;175.92;donc;175.64;175.92;0.008031226;0.091606598;612.51;5.202885;628;-1;9.258589588
l;175.92;175.96;l’;175.92;175.96;4.40913978;3.75526016;1.11E-06;9.258583;629;1;9.0073
a;175.96;176;habit;175.96;176.18;4.40913978;3.794193288;8.34;5.734592;630;1;3.060047384
b;176;176.1;habit;175.96;176.18;0.229004095;5.394265642;8.34;5.734592;630;1;3.060047384
i;176.1;176.18;habit;175.96;176.18;0.009328373;1.259084567;8.34;5.734592;630;1;3.060047384
d;176.18;176.22;du;176.18;176.34;4.40913978;3.516593851;4394.7;8.656697;631;1;12.10154897
y;176.22;176.34;du;176.18;176.34;0.316459001;7.978437985;4394.7;8.656697;631;1;12.10154897
p;176.34;176.41;prince;176.34;176.9;4.40913978;3.530081653;44.83;5.319005;632;1;5.486392594
R;176.41;176.49;prince;176.34;176.9;0.311131064;2.666672359;44.83;5.319005;632;1;5.486392594
e~;176.49;176.67;prince;176.34;176.9;0.065043444;6.086719827;44.83;5.319005;632;1;5.486392594
s;176.67;176.9;prince;176.34;176.9;0.002164637;1.092413468;44.83;5.319005;632;1;5.486392594
e;177.04;177.13;et;177.04;177.13;4.40913978;4.815820454;12909.08;6.170006;633;1;13.65609857
l;177.13;177.16;le;177.13;177.29;4.40913978;3.75526016;16953.5;7.437901;634;1;14.04929552
@;177.16;177.29;le;177.13;177.29;0.225805434;0.827806902;16953.5;7.437901;634;1;14.04929552
p;177.29;177.35;prince;177.29;177.63;4.40913978;3.530081653;44.83;6.560287;635;1;5.486392594
R;177.35;177.43;prince;177.29;177.63;0.311131064;2.666672359;44.83;6.560287;635;1;5.486392594
e~;177.43;177.51;prince;177.29;177.63;0.065043444;6.086719827;44.83;6.560287;635;1;5.486392594
s;177.51;177.63;prince;177.29;177.63;0.002164637;1.092413468;44.83;6.560287;635;1;5.486392594
a~;177.63;177.71;endossa;177.63;178.09;4.40913978;5.557861127;1.11E-06;4.532684;636;-1;9.0073
d;177.71;177.79;endossa;177.63;178.09;0.080804818;6.42065102;1.11E-06;4.532684;636;-1;9.0073
o;177.79;177.88;endossa;177.63;178.09;0.00226095;3.814496702;1.11E-06;4.532684;636;-1;9.0073
s;177.88;178.02;endossa;177.63;178.09;0.00097914;4.692896197;1.11E-06;4.532684;636;-1;9.0073
a;178.02;178.09;endossa;177.63;178.09;0.000848923;5.262513537;1.11E-06;4.532684;636;-1;9.0073
