,onset,offset,words
769,218.68,218.86,
770,218.86,218.96,et
771,218.96,219.48,pénétra
772,219.48,219.67,dans
773,219.67,219.8,une
774,219.8,220.17,grande
775,220.17,220.22,et
776,220.22,220.72,superbe
777,220.72,221.14,salle
778,221.14,221.4,pleine
779,221.4,221.53,de
780,221.53,221.93,princes
781,221.93,222.51,enchantés
782,222.51,222.6,à
783,222.6,222.72,qui
784,222.72,222.93,il
785,222.93,223.33,enleva
786,223.33,223.52,leurs
787,223.52,223.99,bagues
788,223.99,224.4,
789,224.4,224.52,il
790,224.52,224.6,
791,224.6,224.97,s’empara
792,224.97,225.44,également
793,225.44,225.47,d’
794,225.47,225.65,une
795,225.65,225.85,épée
796,225.85,226.05,et
797,226.05,226.09,d’
798,226.09,226.27,un
799,226.27,226.43,pain
800,226.43,226.71,qu’il
801,226.71,226.74,y
802,226.74,227.17,rencontra
803,227.17,228.15,
804,228.15,228.31,Puis
805,228.31,228.49,il
806,228.49,228.76,passa
807,228.76,228.95,dans
808,228.95,229.13,une
809,229.13,229.38,autre
810,229.38,229.7,chambre
811,229.7,229.76,où
812,229.76,229.95,il
813,229.95,230.4,aperçut
814,230.4,230.52,une
815,230.52,230.77,jeune
816,230.77,231.19,fille
817,231.19,231.43,belle
818,231.43,231.47,à
819,231.47,232.18,ravir
820,232.18,232.34,
821,232.34,232.43,qui
822,232.43,232.59,se
823,232.59,232.88,montra
824,232.88,232.97,toute
825,232.97,233.47,joyeuse
826,233.47,233.52,à
827,233.52,233.79,sa
828,233.79,234.08,vue
829,234.08,234.17,et
830,234.17,234.22,
831,234.22,234.28,l’
832,234.28,234.95,embrassa
833,234.95,235.4,
834,235.4,235.48,Elle
835,235.48,235.74,lui
836,235.74,235.87,dit
837,235.87,236.08,qu’il
838,236.08,236.11,l’
839,236.11,236.33,avait
840,236.33,236.93,délivrée
841,236.93,237.0,
842,237.0,237.3,qu’il
843,237.3,237.79,aurait
844,237.79,237.82,l’
845,237.82,237.93,
846,237.93,238.28,entière
847,238.28,238.85,possession
848,238.85,238.9,de
849,238.9,239.05,son
850,239.05,239.43,royaume
851,239.43,239.54,et
852,239.54,239.59,
853,239.59,239.74,qu’il
854,239.74,239.93,devait
855,239.93,240.3,revenir
856,240.3,240.63,dans
857,240.63,240.9,un
858,240.9,241.25,an
859,241.25,241.41,pour
860,241.41,241.94,célébrer
861,241.94,242.14,leur
862,242.14,242.83,mariage
863,242.83,243.37,
864,243.37,243.44,Elle
865,243.44,243.54,lui
866,243.54,243.9,indiqua
867,243.9,244.2,aussi
868,244.2,244.33,où
869,244.33,244.51499,était
870,244.51499,244.66998,le
871,244.66998,245.05,puits
872,245.05,245.28,
873,245.28,245.36,en
874,245.36,245.48,lui
875,245.48,245.93,recommandant
876,245.93,245.98,de
877,245.98,246.21,se
878,246.21,246.52,hâter
879,246.52,246.67,pour
880,246.67,247.01,prendre
881,247.01,247.11,l’
882,247.11,247.25,eau
883,247.25,247.48,avant
884,247.48,247.92,midi
885,247.92,248.92,
886,248.92,249.07,Il
887,249.07,249.26,allait
888,249.26,249.78,toujours
889,249.78,249.9,et
890,249.9,250.17,arriva
891,250.17,250.51,enfin
892,250.51,250.72,dans
893,250.72,250.86,une
894,250.86,251.19,chambre
895,251.19,251.28,où
896,251.28,251.37,il
897,251.37,251.48,y
898,251.48,251.64,avait
899,251.64,251.8,un
900,251.8,252.07,beau
901,252.07,252.35,lit
902,252.35,252.87,fraîchement
903,252.87,253.58,arrangé
904,253.58,254.23,
905,254.23,254.3,et
906,254.3,254.45,comme
907,254.45,254.56,il
908,254.56,254.75,était
909,254.75,255.6,fatigué
910,255.6,256.06,
911,256.06,256.2,il
912,256.2,256.63,voulut
913,256.63,256.67,s’y
914,256.67,257.14,reposer
915,257.14,257.35,un
916,257.35,257.58,peu
917,257.58,258.39,
918,258.39,258.55,Il
919,258.55,258.66,
920,258.66,259.41,s’étendit
921,259.41,259.55,
922,259.55,259.66,et
923,259.66,259.79,
924,259.79,260.48,s’endormit
925,260.48,261.7,
926,261.7,262.07,lorsqu’il
927,262.07,262.25,se
928,262.25,262.67,réveilla
929,262.67,262.85,il
930,262.85,263.28,entendit
931,263.28,263.6,sonner
932,263.6,263.89,onze
933,263.89,264.05,heures
934,264.05,264.25,trois
935,264.25,264.78,quarts
936,264.78,265.48,
937,265.48,265.85,Saisi
938,265.85,265.94,d’
939,265.94,266.45,angoisse
940,266.45,266.57,il
941,266.57,267.15,sauta
942,267.15,267.18,à
943,267.18,267.39,bas
944,267.39,267.57,du
945,267.57,267.86,lit
946,267.86,267.99,
947,267.99,268.35,courut
948,268.35,268.51,au
949,268.51,268.95,puits
950,268.95,269.33,
951,269.33,269.44,y
952,269.44,269.89,puisa
953,269.89,269.92,de
954,269.92,269.95,l’
955,269.95,270.07,eau
956,270.07,270.31,avec
957,270.31,270.42,le
958,270.42,270.77,gobelet
959,270.77,270.91,qui
960,270.91,270.98,se
961,270.98,271.35,trouvait
962,271.35,271.38,à
963,271.38,271.85,côté
964,271.85,272.05,
965,272.05,272.24,et
966,272.24,272.69,s’éloigna
967,272.69,272.92,
968,272.92,272.97,à
969,272.97,273.23,toutes
970,273.23,273.6,jambes
971,273.6,273.9,
972,273.9,274.05,Comme
973,274.05,274.15,il
974,274.15,274.51,sortait
975,274.51,274.66,par
976,274.66,274.76,la
977,274.76,275.12,porte
978,275.12,275.2,d’
979,275.2,275.46,airain
980,275.46,275.79,midi
981,275.79,276.17,sonna
982,276.17,276.27,et
983,276.27,276.38,la
984,276.38,276.71,porte
985,276.71,276.87,se
986,276.87,277.33,referma
987,277.33,277.56,avec
988,277.56,277.72,une
989,277.72,277.97,telle
990,277.97,278.49,violence
991,278.49,278.66,qu’elle
992,278.66,278.78,lui
993,278.78,279.09,enleva
994,279.09,279.19,un
995,279.19,279.52,morceau
996,279.52,279.6,du
997,279.6,279.66,
998,279.66,280.05,talon
999,280.05,280.35,
1000,280.35,280.63,Il
1001,280.63,280.81,se
1002,280.81,281.44,réjouissait
1003,281.44,281.48,d’
1004,281.48,281.7,avoir
1005,281.7,281.77,en
